任務領域;詞彙;漢語拼音;詞類;編號
購物;輕;qīng ;Vs;887
購物;重;zhòng ;Vs;888
購物;流行;liúxíng ;Vs;889
購物;藍色;lánsè ;N;890
購物;綠色;lǜsè ;N;891
購物;紅色;hóngsè ;N;892
購物;黑色;hēisè ;N;893
購物;手錶/錶;shǒubiǎo/biǎo;N;894
購物;付;fù ;V;895
購物;襯衫;chènshān ;N;896
購物;毛衣;máoyī ;N;897
購物;大衣;dàyī ;N;898
購物;牛仔褲;niúzǎikù ;N;899
購物;雨衣;yŭyī ;N;900
購物;內衣;nèiyī ;N;901
購物;帽子;màozi ;N;902
購物;皮包;píbāo ;N;903
購物;外套;wàitào ;N;904
購物;乾;gān ;Vp;905
購物;舊;jiù ;Vs;906
購物;價格;jiàgé ;N;907
購物;價錢;jiàqián ;N;908
購物;排隊;páiduì  ;V-sep;909
購物;信用卡;xìnyòngkǎ ;N;910
購物;毛;máo ;M;911
購物;比較;bǐjiào ;Adv;912
購物;樣子;yàngzi;N;913
購物;特別;tèbié ;Vs;914
購物;一般;yībān ;Vs;915
購物;圓;yuán ;Vs;916
購物;光;guāng ;Vp;917
購物;看見;kànjiàn ;V;918
購物;其他;qítā;Det;919
購物;聲音;shēngyīn ;N;920
購物;大聲;dàshēng ;Vs;921
購物;好像;hǎoxiàng ;Adv;922
購物;像;xiàng ;Vst;923
購物;奇怪;qíguài ;Vs;924
購物;死;sǐ ;Vp;925
購物;髒;zāng ;Vs;926
購物;差不多;chàbùduō ;Vs/Adv;927
購物;一共;yīgòng ;Adv;928
購物;需要;xūyào ;Vst;929
飲食;牛排;niúpái ;N;930
飲食;米;mǐ ;N;931
飲食;三明治;sānmíngzhì ;N;932
飲食;西瓜;xīguā ;N;933
飲食;啤酒;píjiǔ ;N;934
飲食;紅茶;hóngchá ;N;935
飲食;點菜;diǎncài ;V-sep;936
飲食;包;bāo ;M;938
飲食;酸;suān ;Vs;939
飲食;苦;kǔ ;Vs;940
飲食;鹹;xián ;Vs;941
飲食;辣;là ;Vs;942
飲食;點心;diǎnxīn ;N;943
飲食;冰淇淋;bīngqílín ;N;944
飲食;餅乾;bǐnggān ;N;945
飲食;漢堡;hànbǎo ;N;946
飲食;青菜;qīngcài ;N;947
飲食;鹽;yán ;N;948
飲食;糖;táng ;N;949
飲食;煮;zhǔ ;V;950
飲食;碗 ;wǎn ;M;951
飲食;盤;pán ;M;952
飲食;條;tiáo ;M;953
飲食;位;wèi ;M;954
飲食;種;zhǒng ;M;955
飲食;口;kǒu ;M;956
飲食;夠;gòu ;Vs-pred;957
飲食;任何;rènhé ;Det;958
飲食;味道;wèidào ;N;959
飲食;香;xiāng ;Vs;960
飲食;全部;quánbù ;Det;961
飲食;所有;suǒyǒu ;Det;962
飲食;許多;xǔduō ;Det;963
飲食;新鮮;xīnxiān ;Vs;964
飲食;烤;kǎo ;V;965
飲食;嚐;cháng ;V;966
飲食;裝;zhuāng ;V;967
飲食;刀(子);dāo(zi);N;968
飲食;叉(子);chā(zi);N;969
飲食;湯匙;tāngchí ;N;970
飲食;筷子;kuàizi ;N;971
其他;沒有;méi(yǒu) ;Ptc;972
其他;別;bié ;Adv;973
其他;不用;bùyòng ;Adv;974
其他;不但;bùdàn ;Conj;975
其他;只好;zhǐhǎo ;Adv;976
其他;正在;zhèngzài ;Adv;977
其他;馬上;mǎshàng ;Adv;978
其他;把;bǎ ;Ptc;979
其他;被;bèi ;Ptc;980
其他;讓;ràng ;Ptc;981
其他;或;huò ;Conj;982
其他;或是;huòshì ;Conj;983
其他;可能 ;kěnéng ;N;984
其他;然後;ránhòu ;Adv;985
其他;但是;dànshì ;Conj;986
其他;而且;érqiě ;Conj;987
其他;雖然;suīrán ;Conj;988
其他;原來;yuánlái ;Adv;989
其他;也許;yěxǔ ;Adv;990
其他;為了;wèile ;Prep;991
其他;必須;bìxū ;Adv;992
其他;永遠;yǒngyuǎn ;Adv;993
其他;邊/邊兒;biān/biānr;N;994
其他;那麼;nàme;Adv;995
其他;這麼;zhème;Adv;996
其他;本來;běnlái ;Adv;997
其他;要是;yàoshì ;Conj;998
